implementation,dataset,processes,px,py,pz,iteration,nx,ny,nz,timesteps,read_time,main_time,total_time,wall_time
isend,../data/data_64_64_96_7.bin,4,1,2,2,1,64,64,96,7,0.0208,0.0148,0.0303,1.062898439
isend,../data/data_64_64_96_7.bin,4,1,2,2,2,64,64,96,7,0.0200,0.0144,0.0304,1.075706969
isend,../data/data_64_64_96_7.bin,4,1,2,2,3,64,64,96,7,0.0204,0.0159,0.0321,1.078983948
isend,../data/data_64_64_96_7.bin,4,1,2,2,4,64,64,96,7,0.0196,0.0134,0.0292,1.079316852
coll_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,0,64,64,96,7,0.0189,0.0049,0.0238,1.111474530
coll_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,1,64,64,96,7,0.0192,0.0049,0.0242,1.100360646
coll_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,2,64,64,96,7,0.0211,0.0050,0.0261,1.099186382
coll_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,3,64,64,96,7,0.0188,0.0049,0.0237,1.128770037
coll_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,4,64,64,96,7,0.0186,0.0050,0.0236,1.117679864
send,../data/data_64_64_96_7.bin,8,2,2,2,0,64,64,96,7,0.0253,0.0125,0.0305,1.100602802
send,../data/data_64_64_96_7.bin,8,2,2,2,1,64,64,96,7,0.0251,0.0125,0.0305,1.122369434
send,../data/data_64_64_96_7.bin,8,2,2,2,2,64,64,96,7,0.0254,0.0125,0.0305,1.125724068
send,../data/data_64_64_96_7.bin,8,2,2,2,3,64,64,96,7,0.0255,0.0128,0.0306,1.106990484
send,../data/data_64_64_96_7.bin,8,2,2,2,4,64,64,96,7,0.0257,0.0129,0.0312,1.135885843
ind_IO,../data/data_64_64_96_7.bin,8,2,2,2,0,64,64,96,7,0.0465,0.0050,0.0514,1.147804009
ind_IO,../data/data_64_64_96_7.bin,8,2,2,2,1,64,64,96,7,0.0454,0.0050,0.0504,1.122413700
ind_IO,../data/data_64_64_96_7.bin,8,2,2,2,2,64,64,96,7,0.0452,0.0050,0.0502,1.144388192
ind_IO,../data/data_64_64_96_7.bin,8,2,2,2,3,64,64,96,7,0.0452,0.0050,0.0501,1.131010208
ind_IO,../data/data_64_64_96_7.bin,8,2,2,2,4,64,64,96,7,0.0448,0.0050,0.0498,1.137600820
ind_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,0,64,64,96,7,0.0099,0.0050,0.0148,1.095471277
ind_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,1,64,64,96,7,0.0098,0.0050,0.0148,1.109610280
ind_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,2,64,64,96,7,0.0184,0.0052,0.0235,1.110929407
ind_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,3,64,64,96,7,0.0099,0.0050,0.0149,1.088983733
ind_IO_der,../data/data_64_64_96_7.bin,8,2,2,2,4,64,64,96,7,0.0102,0.0050,0.0153,1.086890999
isend,../data/data_64_64_96_7.bin,8,2,2,2,0,64,64,96,7,0.0237,0.0141,0.0295,1.097973167
isend,../data/data_64_64_96_7.bin,8,2,2,2,1,64,64,96,7,0.0232,0.0139,0.0287,1.110995908
isend,../data/data_64_64_96_7.bin,8,2,2,2,2,64,64,96,7,0.0226,0.0133,0.0281,1.103779196
isend,../data/data_64_64_96_7.bin,8,2,2,2,3,64,64,96,7,0.0235,0.0139,0.0290,1.109338156
isend,../data/data_64_64_96_7.bin,8,2,2,2,4,64,64,96,7,0.0233,0.0145,0.0293,1.099131883
coll_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,0,64,64,96,7,0.0217,0.0030,0.0247,1.249990844
coll_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,1,64,64,96,7,0.0228,0.0028,0.0257,1.285654636
coll_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,2,64,64,96,7,0.0214,0.0026,0.0240,1.230939437
coll_IO_der,../data/data_64_64_96_7.bin,16,4,2,2,3,64,64,96,7,0.0210,0.0027,0.0237,1.232899477
